id,celebrity_name,session2_judge_score,session2_fans_vote,session2_total_score,session2_rank,session2_eliminated,session3_judge_score,session3_fans_vote,session3_total_score,session3_rank,session3_eliminated,session5_judge_score,session5_fans_vote,session5_total_score,session5_rank,session5_eliminated,session6_judge_score,session6_fans_vote,session6_total_score,session6_rank,session6_eliminated,session7_judge_score,session7_fans_vote,session7_total_score,session7_rank,session7_eliminated,session8_judge_score,session8_fans_vote,session8_total_score,session8_rank,session8_eliminated,session9_judge_score,session9_fans_vote,session9_total_score,session9_rank,session9_eliminated
11,秦岚,9.33,9.63,18.96,1.0,0.0,7.67,9.5,17.17,6.0,0.0,9.0,9.61,18.61,4.0,0.0,8.67,9.66,18.33,4.0,0.0,8.33,9.65,17.98,11.0,0.0,7.67,9.41,17.08,6.0,1.0,,,,,
12,周家蔚,7.0,9.16,16.16,9.0,0.0,7.67,9.05,16.72,7.0,0.0,8.0,9.29,17.29,7.0,0.0,7.33,8.97,16.3,8.0,1.0,,,,,,,,,,,,,,,
13,谢娜,8.0,9.76,17.76,5.0,0.0,8.67,9.73,18.4,4.0,0.0,7.67,9.74,17.41,6.0,0.0,9.0,9.8,18.8,3.0,0.0,8.67,9.82,18.49,8.0,0.0,9.33,9.86,19.19,2.0,0.0,8.89,9.49,18.38,3.0,0.0
14,陈敏之,7.67,9.2,16.87,8.0,0.0,7.33,9.13,16.46,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,郭羡妮,8.0,9.6,17.6,7.0,0.0,9.0,9.46,18.46,2.0,0.0,8.0,8.98,16.98,8.0,0.0,8.0,9.59,17.59,6.0,0.0,8.33,9.59,17.92,12.0,0.0,8.33,9.74,18.07,4.0,0.0,9.11,9.21,18.32,4.0,0.0
16,杨思琦,8.33,9.63,17.96,4.0,0.0,8.0,9.64,17.64,5.0,0.0,9.33,9.89,19.22,2.0,0.0,9.0,9.9,18.9,2.0,0.0,8.33,9.88,18.21,9.0,0.0,8.67,9.93,18.6,3.0,0.0,9.34,9.89,19.23,2.0,0.0
17,张嘉倪,8.67,9.77,18.44,3.0,0.0,8.67,9.76,18.43,3.0,0.0,9.0,9.69,18.69,3.0,0.0,8.0,9.8,17.8,5.0,0.0,9.0,9.81,18.81,5.0,0.0,8.33,9.47,17.8,5.0,1.0,,,,,
18,唐笑,9.0,9.62,18.62,2.0,0.0,9.0,9.66,18.66,1.0,0.0,10.0,9.64,19.64,1.0,0.0,10.0,9.75,19.75,1.0,0.0,9.0,9.72,18.72,6.0,0.0,9.67,9.8,19.47,1.0,0.0,9.78,9.85,19.63,1.0,0.0
19,曹敏莉,7.0,8.98,15.98,10.0,0.0,6.67,8.97,15.64,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,朱江,8.33,9.3,17.63,6.0,0.0,7.33,9.32,16.65,8.0,0.0,9.0,9.36,18.36,5.0,0.0,7.67,8.93,16.6,7.0,1.0,,,,,,,,,,,,,,,
