season,alpha_percent_method,weeks_count,rank_vs_percent_diff_rate,rank_js_change_rate,percent_js_change_rate
1,0.5,6,0.3333333333333333,0.8333333333333334,0.0
2,0.5,8,0.5,0.125,0.375
3,0.5,10,0.5,0.0,0.5
4,0.5,10,0.8,0.0,0.7
5,0.5,10,0.8,0.0,0.8
6,0.5,10,0.6,0.0,0.4
7,0.5,10,0.9,0.0,0.9
8,0.5,11,0.8181818181818182,0.0,0.8181818181818182
9,0.5,10,0.4,0.0,0.4
10,0.5,10,0.2,0.0,0.2
11,0.5,10,0.5,0.0,0.5
12,0.5,10,0.2,0.0,0.2
13,0.5,10,0.7,0.0,0.7
14,0.5,10,0.4,0.1,0.4
15,0.5,10,0.7,0.2,0.8
16,0.5,10,0.1,0.0,0.1
17,0.5,11,0.36363636363636365,0.0,0.36363636363636365
18,0.5,10,0.0,0.2,0.0
19,0.5,11,0.7272727272727273,0.2727272727272727,0.7272727272727273
20,0.5,10,0.7,0.0,0.7
21,0.5,11,0.36363636363636365,0.6363636363636364,0.6363636363636364
22,0.5,10,0.3,0.4,0.0
23,0.5,11,0.0,0.45454545454545453,0.0
24,0.5,10,0.6,0.0,0.6
25,0.5,10,0.3,0.3,0.3
26,0.5,4,0.75,0.0,0.75
27,0.5,9,0.3333333333333333,0.0,0.3333333333333333
28,0.5,11,0.36363636363636365,0.0,0.18181818181818182
29,0.5,11,0.0,0.2727272727272727,0.2727272727272727
30,0.5,10,0.8,0.2,0.7
31,0.5,10,0.2,0.4,0.3
32,0.5,11,0.0,0.0,0.0
33,0.5,9,0.1111111111111111,0.2222222222222222,0.3333333333333333
34,0.5,11,0.45454545454545453,0.2727272727272727,0.45454545454545453
