season,bottom_k,score_col,weeks_with_elimination,matched,consistency
1,1,adjusted_score,3,3,1.0
1,1,combined_score,3,3,1.0
1,2,adjusted_score,3,3,1.0
1,2,combined_score,3,3,1.0
1,3,adjusted_score,3,3,1.0
1,3,combined_score,3,3,1.0
2,1,adjusted_score,7,5,0.7142857142857143
2,1,combined_score,7,5,0.7142857142857143
2,2,adjusted_score,7,7,1.0
2,2,combined_score,7,7,1.0
2,3,adjusted_score,7,7,1.0
2,3,combined_score,7,7,1.0
3,1,adjusted_score,7,4,0.5714285714285714
3,1,combined_score,7,4,0.5714285714285714
3,2,adjusted_score,7,6,0.8571428571428571
3,2,combined_score,7,5,0.7142857142857143
3,3,adjusted_score,7,6,0.8571428571428571
3,3,combined_score,7,6,0.8571428571428571
4,1,adjusted_score,8,4,0.5
4,1,combined_score,8,4,0.5
4,2,adjusted_score,8,8,1.0
4,2,combined_score,8,8,1.0
4,3,adjusted_score,8,8,1.0
4,3,combined_score,8,8,1.0
5,1,adjusted_score,9,6,0.6666666666666666
5,1,combined_score,9,6,0.6666666666666666
5,2,adjusted_score,9,9,1.0
5,2,combined_score,9,9,1.0
5,3,adjusted_score,9,9,1.0
5,3,combined_score,9,9,1.0
6,1,adjusted_score,8,7,0.875
6,1,combined_score,8,7,0.875
6,2,adjusted_score,8,8,1.0
6,2,combined_score,8,8,1.0
6,3,adjusted_score,8,8,1.0
6,3,combined_score,8,8,1.0
7,1,adjusted_score,8,8,1.0
7,1,combined_score,8,8,1.0
7,2,adjusted_score,8,8,1.0
7,2,combined_score,8,8,1.0
7,3,adjusted_score,8,8,1.0
7,3,combined_score,8,8,1.0
8,1,adjusted_score,9,5,0.5555555555555556
8,1,combined_score,9,5,0.5555555555555556
8,2,adjusted_score,9,9,1.0
8,2,combined_score,9,9,1.0
8,3,adjusted_score,9,9,1.0
8,3,combined_score,9,9,1.0
9,1,adjusted_score,9,7,0.7777777777777778
9,1,combined_score,9,7,0.7777777777777778
9,2,adjusted_score,9,9,1.0
9,2,combined_score,9,8,0.8888888888888888
9,3,adjusted_score,9,9,1.0
9,3,combined_score,9,9,1.0
10,1,adjusted_score,8,6,0.75
10,1,combined_score,8,6,0.75
10,2,adjusted_score,8,7,0.875
10,2,combined_score,8,7,0.875
10,3,adjusted_score,8,8,1.0
10,3,combined_score,8,8,1.0
11,1,adjusted_score,9,5,0.5555555555555556
11,1,combined_score,9,5,0.5555555555555556
11,2,adjusted_score,9,8,0.8888888888888888
11,2,combined_score,9,8,0.8888888888888888
11,3,adjusted_score,9,9,1.0
11,3,combined_score,9,9,1.0
12,1,adjusted_score,8,6,0.75
12,1,combined_score,8,6,0.75
12,2,adjusted_score,8,8,1.0
12,2,combined_score,8,8,1.0
12,3,adjusted_score,8,8,1.0
12,3,combined_score,8,8,1.0
13,1,adjusted_score,9,7,0.7777777777777778
13,1,combined_score,9,7,0.7777777777777778
13,2,adjusted_score,9,8,0.8888888888888888
13,2,combined_score,9,8,0.8888888888888888
13,3,adjusted_score,9,9,1.0
13,3,combined_score,9,9,1.0
14,1,adjusted_score,8,7,0.875
14,1,combined_score,8,7,0.875
14,2,adjusted_score,8,8,1.0
14,2,combined_score,8,8,1.0
14,3,adjusted_score,8,8,1.0
14,3,combined_score,8,8,1.0
15,1,adjusted_score,7,4,0.5714285714285714
15,1,combined_score,7,4,0.5714285714285714
15,2,adjusted_score,7,6,0.8571428571428571
15,2,combined_score,7,6,0.8571428571428571
15,3,adjusted_score,7,6,0.8571428571428571
15,3,combined_score,7,6,0.8571428571428571
16,1,adjusted_score,8,8,1.0
16,1,combined_score,8,8,1.0
16,2,adjusted_score,8,8,1.0
16,2,combined_score,8,8,1.0
16,3,adjusted_score,8,8,1.0
16,3,combined_score,8,8,1.0
17,1,adjusted_score,9,5,0.5555555555555556
17,1,combined_score,9,5,0.5555555555555556
17,2,adjusted_score,9,8,0.8888888888888888
17,2,combined_score,9,8,0.8888888888888888
17,3,adjusted_score,9,9,1.0
17,3,combined_score,9,9,1.0
18,1,adjusted_score,7,2,0.2857142857142857
18,1,combined_score,7,2,0.2857142857142857
18,2,adjusted_score,7,6,0.8571428571428571
18,2,combined_score,7,6,0.8571428571428571
18,3,adjusted_score,7,7,1.0
18,3,combined_score,7,7,1.0
19,1,adjusted_score,10,6,0.6
19,1,combined_score,10,6,0.6
19,2,adjusted_score,10,9,0.9
19,2,combined_score,10,9,0.9
19,3,adjusted_score,10,9,0.9
19,3,combined_score,10,9,0.9
20,1,adjusted_score,8,4,0.5
20,1,combined_score,8,4,0.5
20,2,adjusted_score,8,6,0.75
20,2,combined_score,8,6,0.75
20,3,adjusted_score,8,8,1.0
20,3,combined_score,8,8,1.0
21,1,adjusted_score,7,4,0.5714285714285714
21,1,combined_score,7,4,0.5714285714285714
21,2,adjusted_score,7,5,0.7142857142857143
21,2,combined_score,7,5,0.7142857142857143
21,3,adjusted_score,7,7,1.0
21,3,combined_score,7,7,1.0
22,1,adjusted_score,7,6,0.8571428571428571
22,1,combined_score,7,5,0.7142857142857143
22,2,adjusted_score,7,6,0.8571428571428571
22,2,combined_score,7,6,0.8571428571428571
22,3,adjusted_score,7,7,1.0
22,3,combined_score,7,7,1.0
23,1,adjusted_score,9,6,0.6666666666666666
23,1,combined_score,9,6,0.6666666666666666
23,2,adjusted_score,9,8,0.8888888888888888
23,2,combined_score,9,8,0.8888888888888888
23,3,adjusted_score,9,9,1.0
23,3,combined_score,9,9,1.0
24,1,adjusted_score,8,5,0.625
24,1,combined_score,8,5,0.625
24,2,adjusted_score,8,7,0.875
24,2,combined_score,8,7,0.875
24,3,adjusted_score,8,7,0.875
24,3,combined_score,8,7,0.875
25,1,adjusted_score,8,6,0.75
25,1,combined_score,8,5,0.625
25,2,adjusted_score,8,8,1.0
25,2,combined_score,8,8,1.0
25,3,adjusted_score,8,8,1.0
25,3,combined_score,8,8,1.0
26,1,adjusted_score,3,2,0.6666666666666666
26,1,combined_score,3,2,0.6666666666666666
26,2,adjusted_score,3,3,1.0
26,2,combined_score,3,3,1.0
26,3,adjusted_score,3,3,1.0
26,3,combined_score,3,3,1.0
27,1,adjusted_score,7,1,0.14285714285714285
27,1,combined_score,7,1,0.14285714285714285
27,2,adjusted_score,7,6,0.8571428571428571
27,2,combined_score,7,6,0.8571428571428571
27,3,adjusted_score,7,7,1.0
27,3,combined_score,7,7,1.0
28,1,adjusted_score,7,3,0.42857142857142855
28,1,combined_score,7,3,0.42857142857142855
28,2,adjusted_score,7,4,0.5714285714285714
28,2,combined_score,7,4,0.5714285714285714
28,3,adjusted_score,7,7,1.0
28,3,combined_score,7,7,1.0
29,1,adjusted_score,9,6,0.6666666666666666
29,1,combined_score,9,7,0.7777777777777778
29,2,adjusted_score,9,9,1.0
29,2,combined_score,9,9,1.0
29,3,adjusted_score,9,9,1.0
29,3,combined_score,9,9,1.0
30,1,adjusted_score,8,7,0.875
30,1,combined_score,8,7,0.875
30,2,adjusted_score,8,8,1.0
30,2,combined_score,8,7,0.875
30,3,adjusted_score,8,8,1.0
30,3,combined_score,8,8,1.0
31,1,adjusted_score,9,4,0.4444444444444444
31,1,combined_score,9,4,0.4444444444444444
31,2,adjusted_score,9,9,1.0
31,2,combined_score,9,9,1.0
31,3,adjusted_score,9,9,1.0
31,3,combined_score,9,9,1.0
32,1,adjusted_score,9,3,0.3333333333333333
32,1,combined_score,9,3,0.3333333333333333
32,2,adjusted_score,9,6,0.6666666666666666
32,2,combined_score,9,6,0.6666666666666666
32,3,adjusted_score,9,8,0.8888888888888888
32,3,combined_score,9,9,1.0
33,1,adjusted_score,6,2,0.3333333333333333
33,1,combined_score,6,2,0.3333333333333333
33,2,adjusted_score,6,3,0.5
33,2,combined_score,6,4,0.6666666666666666
33,3,adjusted_score,6,5,0.8333333333333334
33,3,combined_score,6,5,0.8333333333333334
34,1,adjusted_score,8,2,0.25
34,1,combined_score,8,2,0.25
34,2,adjusted_score,8,5,0.625
34,2,combined_score,8,5,0.625
34,3,adjusted_score,8,7,0.875
34,3,combined_score,8,7,0.875
